"start_date","end_date","caseid","activity","Impact","Cle_de_demande","Priorite","Statut_du_Ticket"
2020-05-18T10:17:11.000Z,2020-05-18T10:17:11.000Z,"TCK2477023","Snow_Date_heure_de_fin","3-Moyen","TMABAD-21001","3 - Moyenne","Fermé"
2020-05-18T12:05:00.000Z,2020-05-18T12:05:00.000Z,"TCK2482013","jira_Resolue","2-Elevé","TMABAD-21050","2 - Élevée","Fermé"
2020-05-18T12:05:00.000Z,2020-05-18T12:05:00.000Z,"TCK2482013","jira_Mise_a_jour","2-Elevé","TMABAD-21050","2 - Élevée","Fermé"
2020-05-18T12:05:30.000Z,2020-05-18T12:05:30.000Z,"TCK2482013","Snow_Date_derniere_modif_Etudes","2-Elevé","TMABAD-21050","2 - Élevée","Fermé"
2020-05-18T12:05:31.000Z,2020-05-18T12:05:31.000Z,"TCK2482013","Snow_Date_heure_de_fin","2-Elevé","TMABAD-21050","2 - Élevée","Fermé"
2020-06-06T11:00:13.000Z,2020-06-06T11:00:13.000Z,"TCK2464267","Snow_Mis_a_jour","2-Elevé","TMABAD-20873","2 - Élevée","Fermé"
2020-06-08T13:00:07.000Z,2020-06-08T13:00:07.000Z,"TCK2464394","Snow_Mis_a_jour","3-Moyen","TMABAD-20877","3 - Moyenne","Fermé"
2020-06-23T15:42:14.000Z,2020-06-23T15:42:14.000Z,"TCK2518888","Snow_Date_heure_de_survenance","3-Moyen","TMABAD-21460","3 - Moyenne","Fermé"
2020-06-23T15:46:00.000Z,2020-06-23T15:46:00.000Z,"TCK2518888","jira_Creation","3-Moyen","TMABAD-21460","3 - Moyenne","Fermé"
2020-06-24T11:53:35.000Z,2020-06-24T11:53:35.000Z,"TCK2520005","Snow_Date_heure_de_survenance","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-06-24T12:02:00.000Z,2020-06-24T12:02:00.000Z,"TCK2520005","jira_Creation","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-06-25T13:50:00.000Z,2020-06-25T13:50:00.000Z,"TCK2518888","jira_Resolue","3-Moyen","TMABAD-21460","3 - Moyenne","Fermé"
2020-06-25T13:50:00.000Z,2020-06-25T13:50:00.000Z,"TCK2518888","jira_Mise_a_jour","3-Moyen","TMABAD-21460","3 - Moyenne","Fermé"
2020-06-25T13:50:25.000Z,2020-06-25T13:50:25.000Z,"TCK2518888","Snow_Date_derniere_modif_Etudes","3-Moyen","TMABAD-21460","3 - Moyenne","Fermé"
2020-06-25T13:50:25.000Z,2020-06-25T13:50:25.000Z,"TCK2518888","Snow_Date_heure_de_fin","3-Moyen","TMABAD-21460","3 - Moyenne","Fermé"
2020-06-27T14:00:10.000Z,2020-06-27T14:00:10.000Z,"TCK2477023","Snow_Mis_a_jour","3-Moyen","TMABAD-21001","3 - Moyenne","Fermé"
2020-06-27T16:00:18.000Z,2020-06-27T16:00:18.000Z,"TCK2482013","Snow_Mis_a_jour","2-Elevé","TMABAD-21050","2 - Élevée","Fermé"
2020-06-29T14:22:00.000Z,2020-06-29T14:22:00.000Z,"TCK2520005","jira_Resolue","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-06-29T14:22:00.000Z,2020-06-29T14:22:00.000Z,"TCK2520005","jira_Mise_a_jour","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-06-29T14:22:24.000Z,2020-06-29T14:22:24.000Z,"TCK2520005","Snow_Date_derniere_modif_Etudes","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-06-29T14:22:24.000Z,2020-06-29T14:22:24.000Z,"TCK2520005","Snow_Date_heure_de_fin","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-06-30T09:51:48.000Z,2020-06-30T09:51:48.000Z,"TCK2526496","Snow_Date_heure_de_survenance","3-Moyen","TMABAD-21589","2 - Élevée","Fermé"
2020-06-30T09:56:00.000Z,2020-06-30T09:56:00.000Z,"TCK2526496","jira_Creation","3-Moyen","TMABAD-21589","2 - Élevée","Fermé"
2020-06-30T10:04:00.000Z,2020-06-30T10:04:00.000Z,"TCK2526496","jira_Resolue","3-Moyen","TMABAD-21589","2 - Élevée","Fermé"
2020-06-30T10:04:55.000Z,2020-06-30T10:04:55.000Z,"TCK2526496","Snow_Date_derniere_modif_Etudes","3-Moyen","TMABAD-21589","2 - Élevée","Fermé"
2020-07-06T15:39:09.000Z,2020-07-06T15:39:09.000Z,"TCK2526496","Snow_Date_heure_de_fin","3-Moyen","TMABAD-21589","2 - Élevée","Fermé"
2020-08-04T16:00:08.000Z,2020-08-04T16:00:08.000Z,"TCK2518888","Snow_Mis_a_jour","3-Moyen","TMABAD-21460","3 - Moyenne","Fermé"
2020-08-09T09:00:08.000Z,2020-08-09T09:00:08.000Z,"TCK2520005","Snow_Mis_a_jour","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-08-18T18:00:09.000Z,2020-08-18T18:00:09.000Z,"TCK2526496","Snow_Mis_a_jour","3-Moyen","TMABAD-21589","2 - Élevée","Fermé"
2020-09-02T15:35:00.000Z,2020-09-02T15:35:00.000Z,"TCK2526496","jira_Mise_a_jour","3-Moyen","TMABAD-21589","2 - Élevée","Fermé"
